Komentar,Penulis,Likes,Published_at,balasan,label_judol,label_sentiment
"['ajg', 'judol', 'superchatnya', 'wkwk']",@malzadar1952,0,2024-09-18T18:27:19Z,,0,2
"['new', 'record', 'indonesia', 'incredible']",@annopeto,0,2024-09-18T13:41:47Z,,0,2
"['he', 'make', 'best', 'gift']",@ChairudinjarotDjarot,0,2024-09-20T14:41:44Z,,0,2
['amazing'],@febriicrik6307,0,2024-09-19T15:21:21Z,,0,2
['bruh'],@Timesome789,0,2024-09-26T09:31:32Z,,0,2
"['sinyal', 'indonesia', 'buruk', 'wkwkw', 'lgi', 'live', 'buffer']",@Medddusa,0,2024-09-18T13:32:17Z,,0,2
"['bentar', 'undang', 'raffi', 'ahmad']",@harimatra6245,0,2024-09-19T05:22:00Z,,0,2
"['my', 'fav']",@Asjiooo,78,2024-09-20T05:34:43Z,,0,2
"['world', 'record', 'in', 'indonesia']",@GilangDirga-z8g,0,2024-09-18T14:18:57Z,,0,2
"['buset', 'dah', 'view', 'nya', 'gila', 'good', 'job']",@sinhunter4656,1,2024-09-18T18:53:14Z,,0,2
"['stop', 'posting', 'sx', 'they', 'shouldnt', 'portray', 'those', 'cheap', 'sexy', 'girls', 'many', 'speed', 'follower', 'are', 'children', 'underage', 'soo', 'disrespectful', 'shame', 'on', 'indonesia']",@KickStupidNatizen,0,2024-09-18T15:15:50Z,,0,2
"['hell', 'yeah']",@Hitomaro22,0,2024-09-18T13:23:21Z,,0,2
"['parah', 'juta', 'view', 'cuman', 'hitung', 'jam']",@derbymauzidan3927,0,2024-09-18T16:48:53Z,,0,2
"['speed', 'takeover', 'jakarta']",@yudikri,0,2024-09-18T16:48:47Z,,0,2
"['info', 'bonus', 'depo', 'sikat']",@NenaA.Molina,0,2024-09-18T14:21:21Z,,0,2
"['go', 'to', 'tulungagung', 'ngunut', 'pls', 'thats', 'my', 'city', 'please']",@Needformemesea,2,2024-09-19T11:31:25Z,jir gua di tulungagung kecamatan ngantru jir gua ngunutrendzzx yaudah biar speed beneran ke tulungagung agung nanti biar kita bisa ketemu dia btw at there its too beautiful,0,1
"['crazyyy', 'zombiee', 'broooooooo']",@IihhhGituu,0,2024-09-18T19:02:55Z,,0,2
['ngaceng'],@shk1377,0,2024-09-20T05:10:42Z,,0,2
"['as', 'an', 'indonesian', 'im', 'so', 'sorry', 'for', 'the', 'crowds']",@RainGvrl,16,2024-09-18T17:57:41Z,,0,2
"['please', 'i', 'wan', 'na', 'meet', 'with', 'you', 'im', 'from', 'indonesia', 'on', 'kalimantan', 'barat', 'on', 'ketapang', 'at', 'kalinilam', 'at', 'btn', 'palmvista', 'please', 'speed', 'i', 'wan', 'na', 'meet', 'with', 'you', 'sorry', 'if', 'my', 'english', 'not', 'fluent']",@L.Hakimxtyzee,1,2024-09-19T01:53:17Z,,0,2
"['top', 'global', 'stream', 'snipe', 'anyinkk']",@QinchiMLBB,495,2024-09-18T15:38:16Z,"rumah di kebetulan deket bgt sama tempat speed turun jadi langsung ketemu top  leaderboard stream snipe  tlol bawa adek lgi dia keren wkwkwkkwsiapaaja mitsuhaxtakiwkwkw hoki bat tuh orang wkkwkw yang lain antri foto dia malah colab qinchimlbb bro adalah mc sesungguhnya itu lu bangsiapaaja speed run ketemu speed bro and sister is top global geoguessr in jakarta division siapaajasedeketnya rumah dia ttep diluar nalar njirr, secepat itu tau posisi speed ank ya gmn, naik motor juga cepet si akamsi dia sulit di tebak bro collab dia mah langsung spawn anj wkwkwk siapaaja rumah dia di mana dah perasaan ga ada pemukiman deket area kotu wkwkwk siapaajaitu lu kah",0,1
"['terimakasih', 'indonesia', 'speed']",@LahrukuGameiN,2,2024-09-22T07:57:16Z,,0,2
"['anjir', 'zombie', 'indonesia', 'bro', 'keep', 'your', 'self', 'speed']",@nezukamado5447,0,2024-09-21T16:04:36Z,,0,2
"['speed', 'is', 'a', 'very', 'kind', 'man']",@Mogu_moguu,0,2024-09-18T15:06:03Z,,0,2
"['indonesian', 'm', 'viewer', 'and', 'it', 'will', 'continue', 'to', 'grow', 'the', 'power', 'of', 'indonesian', 'social', 'media']",@Shendymalika,0,2024-09-18T23:35:46Z,,0,2
"['selamat', 'indonesia', 'ishou', 'speed', 'moga', 'bahagia']",@HaikalHaikal-f5s,1,2024-11-30T13:34:09Z,,0,2
"['wow', 'by', 'indonesian', 'bandung']",@MuhamadJamaludin-p9v,0,2024-09-22T16:23:13Z,,0,2
"['hello', 'im', 'from', 'indonesia', 'im', 'your', 'fan']",@DeviNew-kx7ko,0,2024-10-06T01:18:13Z,,0,2
['frsit'],@varrelaljabaar,0,2024-09-18T13:21:11Z,,0,2
['lmao'],@zamanshojib7906,0,2024-10-28T04:28:59Z,,0,2
"['absen', 'bang']",@JihanYuiata,0,2024-09-18T13:19:48Z,,0,2
"['speed', 'try', 'going', 'to', 'pink', 'beach', 'or', 'bal', 'where', 'the', 'place', 'is', 'very', 'beautiful', 'and', 'the', 'people', 'are', 'friendly']",@Tcactzy,0,2024-09-18T23:18:24Z,,0,2
"['hi', 'speed']",@OdyStore-lu7xl,0,2024-09-18T17:36:20Z,,0,2
"['i', 'miss', 'my', 'friend', 'indonesian', 'playing', 'ragnarok', 'and', 'hok', 'i', 'am', 'from', 'ph', 'ichanluck']",@christianlucktorrefiel7633,3,2024-09-18T21:08:13Z,,0,2
"['w', 'stream', 'that', 'what', 'will', 'happen', 'when', 'you', 'are', 'a', 'kind', 'person', 'we', 'indonesian', 'love', 'kind', 'people', 'lets', 'gooo']",@paradiseyt3357,0,2024-09-18T14:50:14Z,,0,2
"['king', 'indo', 'ni', 'kawan']",@dentapri985,0,2024-09-20T19:33:57Z,,0,2
"['dajjal', 'kayak', 'gin', 'manusia', 'zaman']",@ArlnkSprk,0,2024-09-19T10:31:05Z,,0,2
"['el', 'cepat', 'bahagia', 'jir', 'indonesia']",@zenyt3197,1,2024-09-18T13:45:14Z,,0,2
"['trending', 'sih']",@Abdu_Rahman27,0,2024-09-18T15:43:09Z,,0,2
"['piye', 'speed', 'rempah', 'indonesia', 'numero', 'uno', 'congrats']",@krdeden,0,2024-09-18T13:55:46Z,,0,2
"['like', 'wtf']",@EliminYTOfficial,0,2024-09-18T13:23:52Z,,0,2
"['hallo', 'speedd']",@rispalnurhakim9387,0,2024-09-18T13:51:44Z,,0,2
"['so', 'crazy', 'boss', 'nice', 'for', 'viewlike', 'banyak', 'yg', 'dalam', 'video', 'fomo', 'rusuh', 'apa', 'teriak', 'teriak', 'kayak', 'kera', 'lapar', 'taik']",@Aczzzzs,1,2024-09-18T13:33:12Z,,0,2
"['aing', 'kasep', 'pis']",@sitihasanah1484,0,2024-09-20T04:44:14Z,,0,2
"['speed', 'les', 'bahasa', 'indo', 'gua']",@sirenirawan-ic4cw,0,2024-09-18T14:53:12Z,,0,2
"['laku', 'sdm', 'rendah']",@restfirman,0,2024-09-18T18:08:39Z,,0,2
"['good', 'indonesian', 'country', 'and', 'best', 'culture']",@livefootballlovers,2,2024-09-22T16:13:10Z,,0,2
"['rai', 'gatel']",@melvintenggara3727,0,2024-09-18T14:16:52Z,,0,2
"['we', 'are', 'the', 'strongest', 'community', 'in', 'the', 'world']",@Npb-99-45,0,2024-09-18T15:50:10Z,,0,2
"['indogs', 'are', 'boring', 'philippines', 'still', 'the', 'strongest']",@harrisbarroga420,1,2024-09-19T17:21:36Z,but m view keep crying,0,1
"['m', 'viw', 'crazy']",@kla_yuok8844,0,2024-09-20T10:54:42Z,,0,2
"['w', 'speed']",@SaadiaAden-q1x,0,2024-09-18T19:05:27Z,,0,2
"['i', 'love', 'indonesia']",@Yudi1607,0,2024-09-21T06:01:49Z,,0,2
"['million', 'in', 'hours']",@HeroVersez,0,2024-09-18T13:19:48Z,,0,2
"['wellcome', 'bro']",@gabrielwantur6302,1,2024-09-19T04:51:50Z,,0,2
"['thanks', 'bro', 'indonesian']",@Raff_Suka_Pepeng123,0,2024-09-18T13:40:56Z,,0,2
"['liat', 'scane', 'berfikir', 'i', 'showspeed', 'berani', 'indo']",@jerrysandy417,2,2024-09-20T02:29:00Z,minimal nonton sampe habis lah kntl scane,0,0
"['million', 'on', 'live', 'stream', 'is', 'crazyy']",@junmalone,0,2024-09-18T13:23:36Z,,0,2
"['w', 'indonesia']",@KENRBLXGAMING,0,2024-09-18T13:51:32Z,,0,2
"['el', 'cepat', 'huraaaaaa']",@ahmad.90,0,2024-09-18T14:52:29Z,,0,2
"['im', 'so', 'sad', 'about', 'that', 'apocalypse', 'kids', 'there', 'but', 'apart', 'from', 'that', 'just', 'like', 'u', 'said', 'it', 'one', 'of', 'the', 'best', 'stream', 'welcome', 'to', 'indonesia', 'see', 'u', 'in', 'bal']",@rizkisyaputra960,0,2024-09-18T13:28:12Z,,0,2
"['speed', 'is', 'goooooddd']",@immanuelbryan8010,0,2024-09-27T11:18:36Z,,0,2
"['selamat', 'likes', 'million', 'likes']",@holilmuhamad1525,2,2024-09-19T10:55:21Z,,0,2
"['from', 'he', 'keeps', 'looking', 'at', 'the', 'camera', 'and', 'then', 'back', 'down', 'onto', 'his', 'phone']",@AhmedAli-vo4jz,1,2024-09-18T19:37:36Z,,0,2
"['this', 'guy', 'shouting', 'at', 'the', 'driver', 'likes', 'hes', 'a', 'slave', 'is', 'disgusting']",@brucewagner8633,0,2024-09-21T09:45:05Z,,0,2
['wow'],@minigogogamingsatriomusici9303,0,2024-09-18T13:20:40Z,,0,2
"['lo', 'keren', 'bgv']",@HarMade,0,2024-09-19T11:49:19Z,,0,2
"['speed', 'go', 'to', 'lombok', 'in', 'mataram']",@alfianbayu5267,1,2024-09-20T05:07:42Z,,0,2
"['best', 'part']",@brutsss_,1,2024-09-22T10:26:39Z,,0,2
"['bro', 'you', 'went', 'to', 'indonesia', 'and', 'medy', 'renaldi', 'gave', 'you', 'toys', 'im', 'from', 'indonesia', 'im', 'crazy', 'about', 'you', 'and', 'ronaldo']",@MRHASBIE,0,2024-09-21T06:14:08Z,,0,2
"['come', 'on', 'stop', 'by', 'my', 'house', 'ill', 'serve', 'you', 'ginger', 'tea', 'and', 'layer', 'cake']",@OiFalsManiaa,0,2024-09-20T00:07:35Z,,0,2
"['m', 'likes', 'w', 'in', 'the', 'chat']",@firzaandi1683,5,2024-09-19T11:03:25Z,,0,2
"['indonesia', 'qu']",@YusufYusuf-so5vp,0,2024-09-19T19:50:06Z,,0,2
"['wow', 'm']",@ASSISTMD,0,2024-09-20T05:11:25Z,,0,2
"['wooowwwww', 'amazing', 'country', 'bro']",@AndrreyRegas,1,2024-09-19T12:23:13Z,,0,2
"['info', 'bonus', 'depo', 'sikat']",@JonathanFrankar,0,2024-09-18T14:10:34Z,,0,2
"['fun', 'fact', 'if', 'you', 'double', 'tab', 'a', 'comment', 'it', 'like', 'it']",@xavier911,3,2024-09-18T16:30:24Z,,0,2
"['speed', 'come', 'to', 'solo', 'city', 'there', 'are', 'lots', 'of', 'delicious', 'and', 'cheap', 'food', 'here', 'please', 'come', 'i', 'beg', 'you']",@Abi-lo1po,2,2024-09-19T11:01:51Z,,0,2
"['wow', 'is', 'the', 'first', 'time', 'in', 'indonesia', 'and', 'meet', 'kameaam', 'so', 'awesome', 'and', 'cosplay', 'nami', 'i', 'like', 'it']",@Rizki_Gunawan23,1,2024-09-18T18:44:58Z,,0,2
"['nami', 'has', 'that', 'gyattttttttttttt']",@Jebbyer,0,2024-09-18T13:34:22Z,,0,2
"['keren', 'wak', 'spedddd', 'wokwok', 'wokkkkkwookkkk']",@mhdhidayat7597,0,2024-09-18T13:29:33Z,pentil offside moment,0,0
"['indonesia', 'almost', 'm', 'likes', 'for', 'hours', 'bring', 'it', 'on', 'guys']",@PLZH5N13_______,5,2024-09-19T08:40:56Z,ye,0,2
['len'],@sakanagari7088,1,2024-09-19T10:45:14Z,,0,2
"['w', 'indonesiaaaaaaaa']",@mardeansptraa9993,1,2024-09-18T13:21:47Z,,0,2
"['we', 'from', 'indonesia', 'apologize', 'if', 'it', 'bothers', 'you']",@kulasOk66,1,2024-09-25T12:49:26Z,,0,2
"['gacorrr', 'speedd']",@hendraprabowo6526,0,2024-09-18T13:41:27Z,,0,2
"['oh', 'her', 'king', 'meme']",@marhadimarhadi1521,0,2024-09-19T02:10:10Z,,0,2
"['cari', 'followers', 'indonesia']",@HendraMarentek,0,2024-09-22T04:31:09Z,,0,2
"['jujur', 'malu']",@Dwiababil12,2,2024-09-19T00:00:51Z,"betul sekali, ketahuan kalo orangorang kita norak gak pantes jadi negara maju norak bet sdm jakarta",0,0
"['lupa', 'main', 'dewi', 'situs', 'percaya']",@CalvinIsolde,0,2024-09-18T14:15:46Z,,0,2
"['thankyouu', 'brother']",@NofiBeauty-yt6ic,0,2024-09-18T16:54:29Z,,0,2
"['sped', 'guncang', 'jakartawkwkwk']",@priskamesayu7915,0,2024-09-19T06:54:03Z,,0,2
"['wtf', 'hahaha']",@ilhamakbarhekmatiar,0,2024-09-30T03:51:16Z,,0,2
"['wanita', 'yg', 'umur', 'jawabanya', 'tebak']",@JajanJalanjalan-x3t,0,2024-09-19T18:02:34Z,"iya bzirrrrrr ya karna rata udh pada   cewe kan gitu gamau ngerasa dirinya tua , panggilan yg udah sopan seperti kak , mbak , buk aja selalu di permasalahkan ama mereka bociikematian knpa bisa begitu ya",0,1
"['speed', 'please', 'in', 'singapore']",@richellesumondong,1,2024-09-19T10:43:32Z,,0,2
"['congrats', 'you', 'broke', 'the', 'record', 'speed']",@ChaalM-bf1uj,0,2024-09-19T15:43:08Z,,0,2
['face'],@roblomoney,2,2024-09-19T11:46:11Z,,0,2
"['langsung', 'kena', 'rizz', 'wkwkw']",@Xi.an.Jingg_,4,2024-09-18T13:52:34Z,,0,2
"['indnesia', 'malu', 'kek', 'zmbie']",@mekshaaqlate673,3,2024-09-19T16:08:42Z,"tapi bisa bikin dia jt penonton itu record selama dia streming noh liat likenya ini jg jadi video yg paling banyak di tonton di channel dia sama ajah bang hampir semua negara kaya gitu semua negara juga kek gitu kali, mungkin mba belum tau stream dia di norway sama di netherland lebih parah were you born by a pigs butt mekshaaqlate lol u are jealous xd mekshaaqlate malaysia also has crowd just like indonesia lol farstingbro indonesia crowd x more than other country",0,1
"['thank', 'you', 'for', 'visiting', 'indonesia', 'brother']",@roll7732,0,2024-09-18T13:21:37Z,,0,2
"['bro', 'k', 'subs', 'million', 'live', 'watching', 'and', 'million', 'likessss', 'omggggg']",@sub2virXyt,1,2024-09-18T15:06:25Z,,0,2
"['keren', 'abis', 'negara', 'gw', 'w', 'w', 'w', 'w']",@palingBener-vx8lg,0,2024-09-18T14:31:48Z,,0,2
"['komen', 'spam', 'judol', 'brengsek']",@rz_7890,0,2024-09-18T13:20:26Z,,0,2
"['wow', 'jt', 'tonton']",@udincenel4165,1,2024-09-20T00:19:26Z,"rekor tbaru sepanjang sejaahdi livenya the center of the world algorithm einseitraft 
will you stay in indonesia speed",0,1
['trending'],@zeinngg7,0,2024-09-19T07:20:01Z,,0,2
['nganjuk'],@farielizwan1610,1,2024-09-18T13:34:23Z,,0,2
"['w', 'country', 'w', 'yb', 'w', 'speed']",@jopanooooo28,2,2024-09-20T05:07:08Z,,0,2
"['el', 'cepat', 'gacor']",@mfauzanaditya,0,2024-09-18T18:25:15Z,,0,2
"['hopefully', 'you', 'come', 'back', 'to', 'malaysia', 'theres', 'still', 'much', 'to', 'explore', 'here', 'bro']",@trickshot9600,1,2024-09-18T13:31:25Z,nope l county,0,0
"['lets', 'go', 'm', 'view']",@RizkyCrawless,1,2024-09-19T03:13:08Z,,0,2
"['king', 'indo', 'ready', 'bosss']",@ysetyo__5780,1,2024-09-18T19:14:24Z,,0,2
['omg'],@OkiSurhadi,0,2024-09-20T15:29:00Z,,0,2
"['martunis', 'ronaldo', 'spedd']",@fajriallamboy1257,0,2024-09-19T15:11:52Z,,0,2
"['indonesia', 'the', 'best', 'country', 'on', 'earth']",@xinkyugo7022,6,2024-09-18T15:32:06Z,,0,2
"['hi', 'el', 'cepat', 'come', 'to', 'papua', 'you', 'wont', 'find', 'crowds', 'of', 'people', 'chasing', 'you', 'you', 'can', 'freely', 'explore', 'the', 'natural', 'beauty', 'and', 'culture', 'of', 'papua', 'you', 'will', 'not', 'regret', 'ever', 'coming', 'to', 'papua']",@satriyojati2757,51,2024-09-22T10:32:50Z,"belum tentu karena mereka juga yang pasti nya ikutin si speed sampai ke papua lu ngomong gitu percuma, speed kalo ga nyari crowd gausa live, speed nyari crowd walau dia kesel, itu gimmick",0,0
"['bal', 'indonesia', 'is', 'bal', 'tempel', 'my', 'beutiful', 'bro']",@AgusRyo-w7y,0,2024-09-19T01:22:46Z,,0,2
"['digital', 'viewers', 'nice', 'and', 'happy', 'people', 'in', 'the', 'physical', 'mass', 'hysteria', 'anger']",@AmericanVices,1,2024-09-20T16:13:19Z,,0,2
['e'],@Anormalguy69123,0,2024-09-18T13:19:35Z,,0,2
"['big', 'win', 'for', 'indonesia', 'love', 'from', 'philippines']",@MisterC,67,2024-09-18T15:14:20Z,philippine is also very good bro i really respect you,0,1
"['thanks', 'for', 'coming', 'to', 'indonesia', 'speed']",@HEHEHA00,1,2024-09-18T13:28:16Z,,0,2
"['your', 'so', 'much', 'more', 'to', 'be', 'able']",@Wendy-e7r,0,2024-09-28T08:01:04Z,,0,2
"['w', 'nami']",@Yuutubeee,0,2024-09-18T13:39:33Z,,0,2
"['trending', 'in', 'indonesia', 'congrat', 'g']",@AsekPol,1,2024-09-19T18:29:49Z,,0,2
"['come', 'to', 'yogyakarta', 'speed', 'it', 'will', 'be', 'chill', 'on', 'god', 'please', 'bro']",@kaidirtbikekid,2,2024-09-19T10:34:27Z,,0,2
"['i', 'bet', 'speeed', 'never', 'wan', 'na', 'go', 'back', 'here', 'again']",@kaypee8901,0,2024-09-18T17:54:44Z,"nah he will cuz he gained a lot of subs wait until speed irl in other island like bali or komodo island dont just look at the beginning, watch it speed irl around indonesia from island to island seeing the extraordinary natural beauty he looks exhausted as heck kaypee if you are there with a lot of people, your mind is divided especially with the crew and guards, speed already knew this risk before he really decided to go irl in sea thirst is something that is natural to happen when you are surrounded by many people like speed said, santai santai",0,1
"['you', 'dont', 'need', 'hospital', 'elijah']",@triciamoore1272,0,2024-09-23T14:09:34Z,,0,2
"['subscriber', 'ribuanratusanjutaan', 'habibi', 'come', 'to', 'indonesia']",@MarcoOyabun,0,2024-09-18T15:34:08Z,,0,2
"['nicee', 'speed']",@gustiseptian526,0,2024-09-19T08:07:18Z,,0,2
"['bro', 'this', 'troll', 'give']",@Lupa-i7z,4,2024-09-19T00:25:48Z,,0,2
"['welcome', 'to', 'indonesia', 'bro']",@nirwanbatubara4025,0,2024-09-18T17:07:05Z,,0,2
['speeeeeddd'],@saefulabdussalam5817,1,2024-09-18T18:36:19Z,,0,2
"['pake', 'peci', 'sholat', 'wkwk']",@AnzharArf,0,2024-09-20T20:48:56Z,,0,2
['w'],@SsS-uq4qj,0,2024-11-03T04:16:28Z,w,0,1
"['welcome', 'to', 'indonesia', 'speed']",@vannydr,0,2024-09-22T06:05:09Z,,0,2
"['indonesia', 'raya']",@mohreski4461,0,2024-09-21T16:27:40Z,,0,2
"['indonesia', 'my', 'country', 'to', 'up', 'pioneer', 'people']",@Istanaku81,0,2024-09-18T18:41:56Z,,0,2
"['njir', 'ingus', 'sampek']",@nanotech7431,0,2024-09-19T14:37:47Z,,0,2
"['ishowmeat', 'come', 'to', 'jayapura', 'in', 'there', 'the', 'people', 'like', 'in', 'african']",@Bludbrainrotten,0,2024-09-18T13:23:27Z,,0,2
"['i', 'was', 'here', 'and', 'on', 'the', 'live', 'chat', 'before', 'its', 'blow', 'up', 'welcome', 'to', 'indonesia', 'speed']",@Tamagosan53,1,2024-09-18T13:31:28Z,,0,2
"['new', 'meme']",@MerantiGaming-p2h,0,2024-09-19T00:51:40Z,,0,2
"['ishowspeed', 'can', 'you', 'go', 'to', 'the', 'batamthats', 'country', 'to']",@DianRahasuri,0,2024-09-20T14:46:40Z,,0,2
"['w', 'indonesiaaa']",@Noizyx,0,2024-09-18T13:20:09Z,,0,2
['hello'],@kastaraabyan1706,0,2024-09-18T13:24:51Z,,0,2
"['world', 'record', 'breaking', 'stream']",@zingestrella,1,2024-09-18T13:21:10Z,,0,2
['hello'],@Bos26_Live1,1,2024-09-19T10:57:39Z,,0,2
"['part', 'rame']",@sidiqhog,0,2024-09-20T03:28:33Z,,0,2
"['come', 'to', 'bandung', 'speed']",@RaturaBG,0,2024-09-18T13:22:10Z,,0,2
"['come', 'on', 'go', 'sulawesi', 'selatan', 'browwww']",@DianRamadhani-ik2tx,0,2024-09-18T17:11:39Z,,0,2
"['apa', 'komen', 'judol', 'coegg']",@uknown1111-y3t,0,2024-09-18T13:20:15Z,,0,2
"['suka', 'indonesia']",@fardhanaryan,0,2024-09-19T18:05:16Z,hii zafanaa lamar dia bang azmiematlihrscxbjir azmiematlihrscx suka kamu ah,0,2
"['wkwk', 'land', 'is', 'different', 'country', 'bro']",@gafmovie,0,2024-09-18T13:32:33Z,,0,2
"['ishowspeed', 'ishowspeed', 'siuuuu', 'santai']",@BlitzzXAja,0,2024-09-18T14:47:06Z,,0,2
"['amazing', 'indonesian', 'by', 'belgium']",@Shakiraboby-y4z,0,2024-09-19T05:49:04Z,,0,2
"['namii', 'cok']",@mhmmdreyhan0247,0,2024-09-18T17:58:27Z,,0,2
['satai'],@pamadi8661,0,2024-09-19T07:36:48Z,,0,2
"['the', 'meaning', 'of', 'tanda', 'tangan', 'is', 'signature', 'speed']",@pixann_4,0,2024-09-19T07:30:55Z,,0,2
"['im', 'waiting', 'for', 'your', 'return', 'to', 'indonesia', 'dont', 'forget', 'to', 'come', 'to', 'the', 'city', 'of', 'surabaya']",@bimasatria172,1,2024-09-19T11:52:30Z,,0,2
['w'],@PrimePrem,0,2024-09-18T13:22:59Z,,0,2
"['how', 'long', 'have', 'you', 'lived', 'in', 'indonesia']",@NikoSaputra-y4k,0,2024-09-20T11:23:58Z,"ampe besok sabtu katanya
tapi kalau masih rame, dia bakal bkin part",0,1
"['lovee', 'you', 'speed']",@AlgaXX-k4m,0,2024-09-18T20:03:42Z,,0,2
"['the', 'first', 'person', 'to', 'meet', 'ishowspeed']",@JLAUDIOMINIATUR,10,2024-09-20T12:37:38Z,,0,2
"['welcome', 'my', 'bro']",@fitranurhidayat31,0,2024-09-18T13:20:26Z,,0,2
"['w', 'indonesia']",@Fazry-k6i,1,2024-09-18T13:20:43Z,,0,2
"['reza', 'arap', 'bangke', 'ketawa', 'pas', 'speed', 'si', 'nami']",@anosvoldigoad2021,1,2024-09-19T03:15:45Z,,0,2
"['geloo', 'tinggal', 'bentar', 'udah', 'juta', 'aja']",@gilangali129,1,2024-09-18T21:03:41Z,,0,2
"['from', 'indonesia']",@kamayelarghanta,0,2024-09-20T12:42:25Z,,0,2
"['million', 'views', 'in', 'hours', 'is', 'crazy']",@NirmalaKhatri-v6e,0,2024-09-18T16:09:12Z,,0,2
"['why', 'does', 'this', 'guy', 'think', 'that', 'the', 'stupid', 'president', 'is', 'not', 'going', 'to', 'assassinate', 'you']",@mM-vq7rq,2,2024-09-22T18:34:09Z,,0,2
"['minggir', 'lu', 'miskin', 'u', 'say', 'that', 'to', 'offense', 'indonesian', 'citizens']",@GarvplaysChannel,1,2024-10-05T05:00:50Z,,0,2
"['speed', 'doesnt', 'get', 'any', 'girls']",@Johnsmosh,0,2024-09-18T14:10:56Z,,0,2
