Komentar,Penulis,Likes,Published_at,balasan,label_judol,label_sentiment
"['bro', 'batik', 'comes', 'from', 'indonesia']",@saGitha_24,0,2024-09-24T18:23:06Z,,0,2
"['guwendeng', 'guwendeng']",@AliR19,1,2024-09-19T05:09:38Z,,0,2
"['w', 'country']",@verixa2005,1,2024-09-18T13:20:59Z,,0,2
"['satai', 'satai']",@ak-xl8ib,0,2024-09-18T15:14:36Z,,0,2
"['speed', 'try', 'bekicot', 'magetan', 'pliss']",@ShunKazamaa,0,2024-09-18T13:19:51Z,,0,2
"['w', 'country', 'indonesia', 'million', 'viewers', 'w']",@oldman4635,1,2024-09-18T13:21:13Z,,0,2
"['gyatt', 'moment']",@blaplazts8290,20,2024-09-18T13:55:35Z,,0,2
"['yo', 'speed', 'come', 'to', 'bandung', 'fr', 'we', 'got', 'banger', 'foods', 'here']",@kyxnrbn,1,2024-09-18T13:21:00Z,,0,2
"['santay', 'santay', 'pelan', 'pelan', 'sopir', 'm', 'live', 'viewer', 'enjoy', 'your', 'day', 'in', 'indonesia', 'speed']",@IchsanJs12,0,2024-09-18T22:19:20Z,,0,2
"['to', 'south', 'bekas', 'bro']",@rifkyadriansyah1501,1,2024-09-19T11:34:41Z,,0,2
"['lets', 'go', 'speed']",@DanteAfdal1406,1,2024-09-19T07:26:06Z,,0,2
"['wkwkw', 'zombie', 'wkwkwk']",@Lowmisicat,0,2024-09-18T18:58:04Z,,0,2
"['i', 'missed', 'the', 'live']",@Fatttttttttt,0,2024-09-18T14:36:38Z,,0,2
['tranding'],@funchannels87,1,2024-09-19T05:15:39Z,,0,2
"['this', 'live', 'got', 'so', 'many', 'viewers', 'its', 'cool', 'broo']",@sspxcedchannel2811,0,2024-09-22T14:40:29Z,,0,2
"['zombies', 'crowd', 'car', 'stream', 'on', 'the', 'roof', 'of', 'the', 'building', 'speed', 'knows', 'how', 'is', 'the', 'condition', 'if', 'he', 'spends', 'more', 'time', 'in', 'indonesias', 'public', 'place']",@dowaimi,26,2024-09-18T13:39:15Z,nami gojo i can fix it,0,1
"['face', 'bro']",@SEEDHUNTER1,21,2024-09-18T13:32:01Z,becoming meme soon,0,1
"['sumpah', 'plis', 'banget', 'gausah', 'norak', 'ngeliat', 'speed', 'liat', 'banget', 'fans', 'nya', 'fomo', 'aja', 'ngapain', 'pake', 'ngetokngetok', 'kaca', 'trs', 'dorongdorong', 'katrok', 'have', 'some', 'manner', 'for', 'gods', 'sake', 'and', 'please', 'learn', 'some', 'basic', 'english']",@nvy859,0,2024-09-18T16:03:22Z,jakarta gitu loh,0,1
"['next', 'bal', 'broo']",@yunuskarim8773,0,2024-09-18T14:25:04Z,,0,2
['hahahahahahhahahahahahahhahah'],@laguterbaru-viral,0,2024-09-23T15:15:14Z,,0,2
"['im', 'glad', 'to', 'see', 'you', 'here', 'speed', 'sorry', 'for', 'broke', 'the', 'stream', 'chat']",@audreygarvitha2731,2,2024-09-18T17:12:25Z,,0,2
"['ka', 'kameaammm']",@Shyzmy,0,2024-09-18T13:24:13Z,,0,2
"['hold', 'up']",@ahmadmufi4815,2,2024-09-18T18:49:07Z,"nan, nan, nan, nan, nan, nan, up, up, up, up, up, up, up, up, up, up,  hold up bruhh,  hold up bruhh,  hold up bruhh",0,2
"['bro', 'this', 'live', 'streaming', 'has', 'become', 'the', 'most', 'popular', 'live', 'on', 'your', 'youtube', 'channel']",@Husein-y3w,2,2024-09-19T16:55:14Z,,0,2
"['ishow', 'papua']",@TITIINDRASUSILOWATI,1,2024-09-26T07:09:32Z,,0,2
"['in', 'your', 'spedd', 'spirit', 'where', 'else', 'will', 'you', 'go']",@Darzzzz-i5b,0,2024-09-19T04:38:07Z,,0,2
"['this', 'will', 'be', 'the', 'most', 'watched', 'live', 'streaming', 'video', 'on', 'the', 'ishowspeed', 'channel']",@GanangMichaelyt,1,2024-09-19T02:09:10Z,,0,2
"['i', 'love', 'speedddd']",@Nanitrianabaru1,0,2024-09-19T07:25:00Z,,0,2
"['el', 'cepat']",@obiyannn,0,2024-09-18T13:26:26Z,,0,2
"['tonton', 'ya', 'indonesia']",@umargaes7972,0,2024-09-19T00:35:49Z,,0,2
"['hire', 'police', 'dude', 'hire', 'police']",@ghonireza673,0,2024-09-18T16:28:47Z,,0,2
"['you', 'need', 'to', 'go', 'to', 'bal', 'islands', 'too', 'bro', 'and', 'you', 'said', 'it', 'want', 'to', 'see', 'monkey', 'there', 'are', 'a', 'minkey', 'kingdom', 'in', 'sangeh']",@leakkillerbali6083,0,2024-09-18T15:07:12Z,"pollution ewww musicjpopjapan jakarta most polution in indonesia bali have rice field , and jakarta dont have",0,0
"['pecah', 'rekor']",@zakzak7101,0,2024-09-18T14:46:10Z,,0,2
"['m', 'like', 'omg']",@Pxllwell,1,2024-09-19T12:08:26Z,,0,2
['yooo'],@naufal001YT,0,2024-09-18T13:21:27Z,,0,2
"['ajar', 'bahasa', 'enggreessssss']",@EmryGarage,2,2024-09-19T03:31:07Z,,0,2
"['indonesia', 'nora', 'nya', 'kasih', 'jalan']",@HerryHs91,0,2024-09-18T16:24:16Z,,0,2
"['le', 'mineral', 'promosi', 'gratis']",@Penjagamagdonals,0,2024-09-23T11:46:56Z,,0,2
['nice'],@konaoyis7603,0,2024-09-18T23:24:04Z,,0,2
"['indonesia', 'is', 'inverted', 'poland', 'thats', 'why', 'its', 'good']",@XYZ-hm7kf,0,2024-09-20T18:52:45Z,,0,2
"['kesel', 'gw', 'liat', 'yg', 'bawa', 'gold', 'butoom', 'anjir']",@priapunyaselena,1,2024-09-20T01:47:16Z,iya sama,0,1
"['m', 'rekor']",@azismuslim6016,1,2024-09-18T19:43:11Z,,0,2
"['say', 'asand', 'kont']",@marimanmis,0,2024-09-29T11:43:14Z,cringe,0,0
"['bingung', 'indo', 'hantu', 'cacat', 'wkwk']",@ahmadsahlan1092,1,2024-09-18T15:38:29Z,,0,2
['w'],@vazkyyyy,0,2024-09-19T06:10:59Z,,0,2
"['bosan', 'ngak', 'ngapain', 'indonesia', 'lari', 'zombies', 'aja', 'tolol', 'iq', 'lembu']",@Kizirikarin,0,2024-09-18T17:20:03Z,,0,2
"['suiiii', 'soy', 'indonesio', 'hermano']",@Noob-w3i3r,0,2024-09-19T10:37:12Z,,0,2
"['w', 'stream', 'guys', 'w']",@Yhizi,1,2024-09-18T13:21:04Z,,0,2
"['as', 'an', 'indonesian', 'citizen', 'i', 'feel', 'ashamed', 'because', 'our', 'people', 'are', 'destroying', 'your', 'roads', 'speed']",@heimdall6853,0,2024-09-18T15:31:30Z,,0,2
"['trending', 'crazzzzyyyy']",@samuelricko,0,2024-09-19T13:49:08Z,,0,2
"['nyala', 'indonesiaa']",@redosiregar1495,0,2024-09-19T04:01:38Z,,0,2
"['nice', 'video', 'bro', 'what', 'is', 'your', 'favorite', 'indonesian', 'food', 'mine', 'is', 'nasi', 'goreng']",@TigerTracksTV,0,2024-09-18T16:25:02Z,,0,2
"['tembuss', 'm', 'jir', 'gg']",@DitメFreya,0,2024-09-18T14:30:57Z,,0,2
"['sorry', 'speed', 'negara', 'indonesia', 'norak', 'brisik']",@ardhanarevand,2,2024-09-19T19:15:34Z,,0,2
"['indonesia', 'juta', 'subscriber']",@kurniawan675,0,2024-09-21T16:48:25Z,,0,2
['siuuuuuuuuuuuuuuuuuuuuuuuuu'],@iShowkig,0,2024-09-18T16:40:44Z,,0,2
"['thanks', 'speed']",@Cat_Metal,0,2024-09-18T13:21:23Z,,0,2
"['speed', 'is', 'speed', 'indonesian', 'is', 'speed']",@neoscarnalism7558,0,2024-09-19T12:27:48Z,,0,2
"['did', 'u', 'know', 'cristiano', 'have', 'a', 'son', 'in', 'indonesia']",@pianno9835,0,2024-09-19T08:35:00Z,,0,2
"['i', 'respect', 'for', 'indonesian', 'bro']",@XenZitsu1,1,2024-09-18T13:22:32Z,,0,2
"['and', 'stream', 'beliau', 'v']",@abdulbukandilan7468,16,2024-09-19T08:02:44Z,"baru ngeh gw, ternyata apel yg dipake speed buat endstream ternyata dari orang itu, soalnya kameramen speed ngedatangin orang itu buat ambil apelnya darkavenger lah fokus bg haha",0,1
"['seru', 'bat', 'asli']",@HitmanShit,0,2024-09-18T13:19:42Z,,0,2
"['what', 'happened', 'when', 'his', 'mom', 'texted', 'him']",@taimo_or4963,1,2024-09-18T16:34:28Z,,0,2
"['welcome', 'to', 'indonesia', 'speed']",@WarXGaming05,0,2024-09-18T13:59:13Z,,0,2
"['speed', 'if', 'you', 'see', 'my', 'chat', 'i', 'need', 'your', 'help', 'my', 'parents', 'wanted', 'hajj', 'but', 'didnt', 'have', 'the', 'money', 'pls', 'speed', 'and', 'im', 'so', 'happy', 'if', 'you', 'help', 'me', 'speed', 'if', 'you', 'help', 'me', 'can', 'you', 'make', 'signature', 'in', 'my', 'clothes', 'and', 'take', 'a', 'fhoto', 'with', 'me']",@SobatRileks,0,2024-09-18T22:21:39Z,,0,2
"['muscle', 'girl', 'name']",@MAJESTYABDUHU,0,2024-09-19T09:24:29Z,,0,2
"['go', 'one', 'million', 'likes', 'broooo']",@yusaqazh_,1,2024-09-19T04:48:39Z,,0,2
"['lets', 'go', 'million', 'view', 'before', 'hour', 'im', 'very', 'proud', 'being', 'indonesia', 'people']",@Fazig83,0,2024-09-19T05:55:13Z,,0,2
"['ronaldo', 'never', 'want', 'meet', 'you', 'again']",@DPHEE,62,2024-09-18T14:11:18Z,pelecehan seksual kh,0,0
"['jancok', 'brader']",@AgungApriyanto-d4s,1,2024-09-19T07:14:41Z,,0,2
"['gw', 'ketemu']",@RakaKa-u5k,0,2024-09-18T13:54:19Z,,0,2
"['reza', 'arap', 'ngapain', 'sihh', 'nyemak', 'aja']",@ridhoandrean6299,0,2024-09-19T20:04:10Z,"dia yang punya mobil goblok dia tour guide goblok,malah bilang ngapain,kalo bukan dia tour guide nya lu pikir siapa lagi yang bisa jadi tour guide speed di indosi willie salimkocak lu bacot kau ridho, fomo gatau culture kok pinter banget sih lu",0,0
"['zombie', 'boxing', 'ronaldo', 'nami']",@bimomulyadi491,714,2024-09-18T13:29:29Z,"ahaha wkwk w nami hahaha bro even though its still chaotic but livestream in indonesia is much better than malaysia malaysian without uncle roger will be no fun and just chaos because in indonesia there are many pleasant surprises w country  speed even gave a rating of  to livestream in indonesia please nama ig cosplay nami apa lol energy midomanberyou make it worse nami is the best part pf whole stream bro w nami bro sial ketawa saya bang tapi benar fact  midomanber                  

artinya dari hudzaifah ra, ia berkata, aku pernah mendengar rasulullah bersabda, tidak masuk surga orang yang suka mengadu domba hr muslim for real bro flashed his meat to k kids live and says the hard r every stream yall make the weirdest ppl famous speed doesnt get any girls, go cry about it that boobies bout to explode yo nami bro what is namifatihhhh kameaam if any of you wondering whos the cosplayer reivaldoaurelio thanks my guy nami beautiful in stream ilove nami ilove indonesia ",0,2
"['whatt', 'the', 'fuk']",@JNETOTOxBYON,15,2024-09-18T17:51:35Z,,0,2
"['ngomong', 'opo', 'koe', 'cuk']",@vanoks2388,0,2024-09-18T14:39:21Z,,0,2
"['kalo', 'ajak', 'collab', 'willie', 'salim']",@DittoDalpo,1,2024-09-18T13:36:29Z,,0,2
"['views', 'sssssssss']",@antoytyt,1,2024-09-19T15:47:24Z,,0,2
"['moment', 'speed', 'sang']",@AryYudiarto,0,2024-09-18T14:20:53Z,,0,2
['wkwkwk'],@rifki8599,0,2024-09-18T15:53:38Z,,0,2
['gokil'],@tresnacandra3307,0,2024-09-18T13:37:57Z,,0,2
"['speed', 'omaigaat']",@mirvaputra8257,0,2024-09-22T11:13:05Z,,0,2
"['skyyisbluue', 'time', 'stamp', 'day', 'jakarta', 'indonesia', 'buka', 'we', 'are', 'here', 'for', 'all', 'the', 'stream', 'snipers', 'city', 'recommendation', 'for', 'ishowspeed', 'in', 'indonesia', 'turn', 'me', 'up', 'indonesian', 'word', 'rumah', 'hantu', 'bisik', 'bisik', 'batik', 'from', 'indonesia', 'ramal', 'ishowspeed', 'united', 'indonesia', 'army', 'man', 'makan', 'goreng', 'makan', 'nasi', 'padang', 'dangdut', 'main', 'angklung', 'motor', 'alaala', 'karaoke', 'kfc', 'ishowspeed', 'makan', 'ayam', 'kasih', 'deodoran', 'santai', 'santai', 'santai', 'masuk', 'rumah', 'hantu', 'speed', 'kejut', 'kejut', 'x', 'speed', 'gigit', 'kejut', 'x', 'kejut', 'x', 'thats', 'you', 'from', 'the', 'beginning', 'you', 'okay', 'call', 'the', 'ambulance', 'hahaha', 'record', 'tunggu', 'momen', 'siiuuu', 'live', 'stream', 'normal', 'cuman', 'sebentar', 'normal', 'kamera', 'rusak', 'si', 'speed', 'kasih', 'oleholeh', 'hadiah', 'ribu', 'tonton', 'live', 'stream', 'kasih', 'baju', 'persija', 'go', 'to', 'bal', 'si', 'speed', 'speed', 'dibeliin', 'air', 'minum', 'indonesia', 'is', 'currently', 'being', 'on', 'track', 'right', 'now', 'as', 'history', 'as', 'being', 'one', 'of', 'as', 'being', 'the', 'best', 'country', 'in', 'the', 'latest', 'country', 'i', 'have', 'ever', 'been', 'to', 'kasih', 'baju', 'speed', 'mobil', 'jalan', 'kaki', 'rekor', 'baru', 'live', 'stream', 'ishowspeed', 'juta', 'tonton', 'indonesia', 'heboh', 'banget', 'backflip', 'spesial', 'juta', 'tonton', 'anomali', 'topeng', 'kasih', 'air', 'minum', 'abang', 'ojol', 'speed', 'poster', 'speed', 'kesal', 'kecewa', 'situasi', 'kendali', 'rusuh', 'speed', 'tim', 'masuk', 'mobil', 'speed', 'beli', 'tissu', 'si', 'makan', 'dadar', 'gulung', 'speed', 'tim', 'tuju', 'kasih', 'lukis', 'lola', 'cewe', 'jawa', 'timur', 'cewe', 'gamer', 'kedengeran', 'nama', 'cewenya', 'speed', 'telepon', 'mama', 'speed', 'ketemu', 'si', 'cellos', 'speed', 'vs', 'cellos', 'kasih', 'hadiah', 'figur', 'cr', 'speed', 'sapa', 'gemar', 'kasih', 'baju', 'portugal', 'x', 'luffy', 'x', 'speed', 'speed', 'foto', 'pegang', 'bendera', 'indonesia', 'gemar', 'anomali', 'topeng', 'gatau', 'aja', 'deh', 'speed', 'foto', 'pegang', 'bendera', 'indonesia', 'gemar', 'cosplayer', 'nami', 'cewe', 'otot', 'cewe', 'basket', 'cewe', 'alaala', 'cyberpunk', 'cewe', 'tari', 'sheran', 'cewe', 'nanya', 'makan', 'cewe', 'medan', 'cosplayer', 'nami', 'putri', 'cewe', 'balerina', 'best', 'live', 'stream', 'si', 'ishowspeed', 'green', 'apple']",@Quin_YT,16,2024-09-23T18:25:10Z,,0,2
['wwwwwwwwwwwwwwwwwwwwwwwwwwwww'],@maraiyagarcia9726,0,2024-09-18T13:37:50Z,,0,2
"['depo', 'bonus', 'sikat']",@TrươngDuyHuyên,0,2024-09-18T14:26:51Z,,0,2
"['cepat', 'sekalispedd']",@ucihakazeokazeo6382,1,2024-09-22T17:28:00Z,,0,2
"['w', 'speeed', 'w', 'indonesia', 'your', 'biggest', 'fan']",@apin8165,1,2024-09-18T13:52:48Z,,0,2
"['bara', 'kuuu']",@Fina_marlina111,0,2024-09-24T10:13:04Z,,0,2
"['speed', 'deserves', 'his', 'fame', 'facts']",@keontebattle,0,2024-09-19T09:34:47Z,,0,2
"['i', 'love', 'you', 'speed']",@aschizou,0,2024-09-18T15:56:52Z,,0,2
"['indonesia', 'that', 'crazy', 'bro']",@Febimuhammad-w1g,1,2024-09-19T09:44:47Z,,0,2
"['yooo', 'niah', 'you', 'come', 'to', 'indonesia', 'i', 'live', 'there', 'bro', 'editim', 'nig']",@Kind-zidan,2,2024-09-18T15:32:18Z,,0,2
"['jing', 'juta', 'cok']",@jonijonna,0,2024-09-18T13:21:43Z,,0,2
"['free', 'palestin']",@satriairawan008,0,2024-09-18T14:20:05Z,,0,2
"['i', 'show', 'speed', 'i', 'show', 'speed', 'siuuuuu']",@idhamtheycallme9051,1,2024-09-18T16:35:48Z,,0,2
"['ishowspeed', 'im', 'indonesian']",@ompeddsamateman,0,2024-09-20T11:49:06Z,,0,2
['fire'],@3bd9anigro,7,2024-09-18T13:41:05Z,,0,2
"['stram', 'popular']",@Meow_Meow343,0,2024-09-18T22:52:52Z,menit nami moment,0,2
"['they', 'broke', 'the', 'sound', 'barrier']",@pesoy125,1,2024-09-19T08:57:13Z,,0,2
"['bro', 'you', 'very', 'very', 'lucky', 'come', 'inin', 'country', 'indonesia']",@yusriljasni04,1,2024-09-18T17:10:44Z,ini adalah negara yg norak minim sopan santun,0,0
"['this', 'video', 'is', 'trending', 'number', 'one', 'in', 'indonesia']",@izunaa_637,0,2024-09-20T13:41:14Z,,0,2
"['just', 'leaving', 'a', 'comment', 'on', 'a', 'historical', 'youtube', 'video']",@Kalbo..,0,2024-09-18T13:30:26Z,,0,2
"['ishowspeed', 'come', 'to', 'somalia', 'please']",@Lifeissimpe,1,2024-09-18T15:08:57Z,,0,2
['goat'],@jdcsasddsa-u7c,0,2024-09-18T16:29:54Z,,0,2
"['what', 'is', 'that', 'sound', 'repeated', 'in', 'times']",@noelams-dw5,2,2024-09-20T08:14:02Z,,0,2
"['butuh', 'cari', 'google', 'keywordnya']",@loksun_abies-t8v,0,2024-09-24T05:08:31Z,,0,2
"['crazy', 'million', 'live', 'viewers', 'is', 'crazy']",@KeizzyyFN,2,2024-09-19T04:09:48Z,,0,2
['trending'],@anggisafitri9851,0,2024-09-20T11:34:02Z,,0,2
"['tanda', 'tangan', 'coret', 'doang']",@agilusmanxitkro-491,0,2024-09-19T18:56:19Z,,0,2
"['we', 'fuckin', 'love', 'u', 'speed']",@derizacs,1,2024-09-19T12:12:37Z,,0,2
"['speed', 'yg', 'indo', 'ronaldo', 'yaa', 'jalan', 'jalan', 'jkt']",@reepost_com6224,0,2024-09-19T13:31:54Z,,0,2
"['mantap', 'nyala', 'abang']",@pudyzayn9936,0,2024-09-19T12:22:13Z,,0,2
"['shes', 'always', 'as', 'excited', 'as', 'ever']",@facinginhere,0,2024-09-19T13:48:50Z,,0,2
"['depo', 'bonus', 'sikat']",@ĐàoVĩnhThức,0,2024-09-18T14:16:40Z,,0,2
"['moga', 'aja', 'indo', 'cok', 'wkwkwk']",@fathulsyafiq9949,1,2024-09-19T04:37:33Z,,0,2
['w'],@ramaandara4578,0,2024-09-18T13:20:37Z,,0,2
"['speed', 'meet', 'nami']",@roronoazoro1791,0,2024-09-18T13:21:01Z,,0,2
"['thank', 'you', 'for', 'coming', 'to', 'indonesia']",@adrianakmal,0,2024-09-19T10:34:27Z,,0,2
"['httpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythmshttpsyoutubesimdgjythms', 'httpsyoutubesimdgjythms']",@argyafy6076,1,2024-09-19T06:54:53Z,,0,2
"['hi', 'i', 'from', 'indonesia']",@emiliayani5050,1,2024-09-22T11:28:59Z,,0,2
"['only', 'man', 'who', 'gon', 'na', 'survive', 'in', 'a', 'zombie', 'apocalypse']",@Pkdomains,0,2024-09-18T17:01:36Z,,0,2
"['malu', 'ya', 'lihat', 'warga', 'indonesia', 'segitunya']",@takimharni5995,2,2024-09-24T15:06:43Z,"biasa aja bro,, liat singapura yang negara maju aj kek gitu gausah malu, malahan itu yang speed cari bro",0,0
"['insane', 'bruv']",@redpillows2992,0,2024-09-18T15:16:08Z,,0,2
"['m', 'views', 'for', 'h', 'damn', 'bruh']",@thecassanova2657,0,2024-09-19T07:56:54Z,,0,2
"['terimakasih', 'kunjung', 'indonesia', 'bro']",@Revan.nur.faizi123,1,2024-09-19T03:46:33Z,,0,2
"['gokil', 'energi', 'nya', 'speed']",@lizajulianty6099,0,2024-09-21T06:56:45Z,,0,2
"['congrats', 'bro', 'im', 'indonesia', 'people', 'so', 'proud', 'see', 'u', 'come', 'to', 'my', 'country']",@bageanore7247,0,2024-09-21T15:03:43Z,,0,2
"['this', 'is', 'indonesia']",@Reynoldd557,1,2024-09-18T16:06:22Z,,0,2
['geloo'],@akbarabays,0,2024-09-18T13:42:07Z,,0,2
"['indonesia', 'coyyyy', 'thanks', 'for', 'coming', 'to', 'indonesia']",@galihrahmad9444,0,2024-11-17T08:53:15Z,,0,2
"['indonesia', 'is', 'the', 'best']",@RyanSaikmat-n6p,1,2024-09-19T00:37:59Z,,0,2
"['dikit', 'tu', 'putin']",@TanakaKunArt,0,2024-09-18T16:31:32Z,,0,2
"['come', 'nepal']",@python.555_gaming,0,2024-09-18T13:46:42Z,,0,2
"['lupa', 'main', 'dewi', 'situs', 'percaya']",@RoberPrice,0,2024-09-18T14:01:24Z,,0,2
"['baju', 'pramuka', 'kena', 'mental']",@AgungWaWaW28,75,2024-09-19T00:39:50Z,santay wkwowkwow ntarr ditanya guru bilang kerjaan ishowspeed,0,1
"['hahahahahahaha', 'crazyyyy']",@adriandhika7805,0,2024-09-18T19:37:34Z,,0,2
"['we', 'are', 'indonesian']",@muhammadfikrimudzakir893,0,2024-09-19T14:20:26Z,,0,2
